Tm,ASD,VEC,Phase
2361.0134,3.73770503,4.8884,BCC
2202.249,3.86350558,5.1574,BCC
2351.859,4.003429852,5.0588,BCC
2445.2731,3.832481553,4.8235,BCC
2499.9361,4.027784715,5.0476,BCC
2315.34,5.304755212,4.52,BCC
2315.34,5.304755212,4.52,BCC
2315.34,5.304755212,4.52,BCC
2072.4,6.018491588,4.9,BCC
2272.8,3.93260213,5.1106,BCC
2537.8468,3.416140884,5.3478,BCC
2029.188,3.670153625,5.2722,BCC
1975.1631,5.232784378,5.1106,BCC
1975.1631,5.232784378,5.1106,BCC
2139,3.796497761,5.2,BCC
2578.25,4.086753027,5,BCC
2133.6,3.480910165,4.8,BCC
2133.6,3.480910165,4.8,BCC
2133.6,3.480910165,4.8,BCC
2218.4,3.566544342,5,BCC
2671.1535,4.416051244,4.6144,BCC
2671.1535,4.416051244,4.6144,BCC
2671.1535,4.416051244,4.6144,BCC
2671.1535,4.416051244,4.6144,BCC
2377.25,5.730437906,4.5,BCC
2377.25,5.730437906,4.5,BCC
2326.75,4.788305286,4.25,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2253.8,4.495453867,4.1,BCC
2538.8843,5.272335133,4.4766,BCC
2554.6809,5.487212397,4.545,BCC
2430.625,5.935296931,4.625,BCC
2430.625,5.935296931,4.625,BCC
2430.625,5.935296931,4.625,BCC
2569.5013,5.653632142,4.6082,BCC
2441.4,6.097271121,4.6,BCC
2441.4,6.097271121,4.6,BCC
2441.4,6.097271121,4.6,BCC
2441.4,6.097271121,4.6,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2665.75,5.36321632,4.5,BCC
2465.5,4.851813611,4.25,BCC
2280.8254,6.082602506,4.4407,BCC
2315.1765,6.20035249,4.5277,BCC
2294.0906,7.006395961,4.6056,BCC
2345.9802,6.279899511,4.6057,BCC
2320.2397,6.969762642,4.6662,BCC
2373.275,6.331916559,4.675,BCC
2345.1103,6.925744665,4.7238,BCC
2441.4526,6.375383414,4.8478,BCC
2407.5293,6.774620025,4.8684,BCC
2460.1961,6.366359613,4.8954,BCC
2440.5,4.075838919,5,BCC
2410.167,6.369626112,4.7684,BCC
2378,6.853413663,4.8,BCC
2539.75,3.93470745,4.75,BCC
2262.195,6.005218799,4.3935,BCC
1684,5.777889559,7.8,BCC
1684,5.777889559,7.8,BCC
1684,5.777889559,7.8,BCC
1684,5.777889559,7.8,BCC
1707.8963,5.777283541,7.7655,BCC
1684,5.777889559,7.8,BCC
1704.8779,5.918506466,7.7459,BCC
1726.6237,6.381140786,7.6819,BCC
1707.2202,6.717962872,7.4538,BCC
1727.1241,7.220093625,7.1681,BCC
1663,6.26002632,7.5,BCC
1721.6908,6.2040312,7.4286,BCC
1799.8473,6.112491208,7.3326,BCC
2327.75,4.872386594,4.25,BCC
2235.4,7.480507608,4.6,BCC
2441.4,6.097271121,4.6,BCC
1707.2202,6.717962872,7.4538,BCC
1684,5.777889559,7.8,BCC
1684,5.777889559,7.8,BCC
1684,5.777889559,7.8,BCC
1684,5.777889559,7.8,BCC
1684,5.777889559,7.8,BCC
1707.2202,6.717962872,7.4538,BCC
1707.2202,6.717962872,7.4538,BCC
1707.2202,6.717962872,7.4538,BCC
1707.2202,6.717962872,7.4538,BCC
2388.4,5.618669177,5.2,BCC
1693.8945,6.230174368,7.6537,BCC
1693.8945,6.230174368,7.6537,BCC
1693.8945,6.230174368,7.6537,BCC
1693.8945,6.230174368,7.6537,BCC
1703.1848,6.574977188,7.5192,BCC
1703.1848,6.574977188,7.5192,BCC
1703.1848,6.574977188,7.5192,BCC
2611,3.780994362,5,BCC
2247.75,8.781340818,4.75,BCC
2441.4,6.097271121,4.6,BCC
2520.8,4.99441746,4.4,BCC
2257.875,6.440523166,4.25,BCC
2337.9013,6.802059798,4.429,BCC
2347,5.703787685,4.375,BCC
2396.625,4.862116278,4.25,BCC
2270.1336,5.037551391,4.3329,BCC
2372.6,4.991703425,4.4,BCC
2261.3,7.023519911,4.5,BCC
2431.1553,4.976684027,4.491,BCC
2376.2442,4.959852143,4.545,BCC
2313.5261,4.933462691,4.6082,BCC
2526,4.839726937,4.5,BCC
2610.1905,3.36714369,4.6056,BCC
2603.212,3.556602319,4.597,BCC
2596.0217,3.72377991,4.5878,BCC
2589.7063,3.873014166,4.5802,BCC
2248.5,7.048397669,4.5,BCC
1985.4,6.34742231,4.8,BCC
2520.8,4.99441746,4.4,BCC
2327.75,4.872386594,4.25,BCC
2327.75,4.872386594,4.25,BCC
2253.8,4.495453867,4.1,BCC
2373.784,4.658500045,4.1671,BCC
2347.333,4.586639197,4.1429,BCC
2319.227,4.501435756,4.1172,BCC
2323.2,4.65247045,4.35,BCC
2255.6,4.583851177,4.3,BCC
2390.8,4.717914152,4.4,BCC
2458.4,4.780298313,4.45,BCC
2526,4.839726937,4.5,BCC
1684,5.777889559,7.8,BCC
1703.2115,5.680602879,7.6922,BCC
1729.218,5.543635321,7.5447,BCC
1752.671,5.415501306,7.4131,BCC
1767.4655,5.333859776,7.3348,BCC
1693.3909,7.117133107,7.2343,BCC
2327.75,4.872386594,4.25,BCC
2172.5878,4.958164842,4.444,BCC
2107.3135,4.970094703,4.5259,BCC
2048.8,4.968270135,4.6,BCC
1995.8655,4.956433306,4.6671,BCC
1947.1962,4.937796455,4.7268,BCC
2206.4554,5.358246357,4.3057,BCC
2357.3845,7.254426578,4.5714,BCC
2204.9648,6.319767721,4.7995,BCC
2520.8,4.99441746,4.4,BCC
2098.2619,6.956936589,4.2218,BCC
2132.2998,6.815571803,4.2631,BCC
2157.75,4.550577491,4.125,BCC
2190.571,6.555750246,4.3338,BCC
2215.2603,6.436537341,4.3632,BCC
1911.3276,10.92305727,6.8347,BCC
1684,5.777889559,7.8,BCC
1629.938,5.280640432,8.335,BCC
2327.75,4.872386594,4.25,BCC
1923.25,3.545392507,6.5,BCC
2600,5.462505288,4.8,BCC
1634.2,5.827707431,7.4,BCC
1684,5.777889559,7.8,BCC
1707.2202,6.717962872,7.4538,BCC
2024.125,5.437757834,4.875,BCC
2024.125,5.437757834,4.875,BCC
2024.125,5.437757834,4.875,BCC
2395.44,4.923084129,4.56,BCC
2395.44,4.923084129,4.56,BCC
2395.44,4.923084129,4.56,BCC
2395.44,4.923084129,4.56,BCC
2520.8,4.99441746,4.4,BCC
2133.6,3.480910165,4.8,BCC
2133.6,3.480910165,4.8,BCC
2133.6,3.480910165,4.8,BCC
2395.44,4.923084129,4.56,BCC
2395.44,4.923084129,4.56,BCC
2395.44,4.923084129,4.56,BCC
2359.74,4.844622455,4.52,BCC
2359.74,4.844622455,4.52,BCC
2359.74,4.844622455,4.52,BCC
2315.34,5.304755212,4.52,BCC
2315.34,5.304755212,4.52,BCC
2315.34,5.304755212,4.52,BCC
2263.8,4.926541183,4.6,BCC
2263.8,4.926541183,4.6,BCC
2263.8,4.926541183,4.6,BCC
1949.75,3.94703996,5,BCC
1949.75,3.94703996,5,BCC
1949.75,3.94703996,5,BCC
1949.75,3.94703996,5,BCC
2298.8,7.067352431,4.4,BCC
2298.8,7.067352431,4.4,BCC
2298.8,7.067352431,4.4,BCC
2248.5,7.048397669,4.5,BCC
2248.5,7.048397669,4.5,BCC
2248.5,7.048397669,4.5,BCC
2248.5,7.048397669,4.5,BCC
2235.4,7.480507608,4.6,BCC
2226.8664,7.497144446,4.6671,BCC
2220.6308,7.36890073,4.7147,BCC
2215.75,7.187440703,4.75,BCC
2441.4,6.097271121,4.6,BCC
2441.4,6.097271121,4.6,BCC
2441.4,6.097271121,4.6,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2355.3074,6.23540462,6.2734,BCC
2355.3074,6.23540462,6.2734,BCC
1754.7214,4.547146129,7.6659,BCC
1765.9437,5.397151533,7.2438,BCC
1684,5.777889559,7.8,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2327.75,4.872386594,4.25,BCC
2285.9075,4.903427908,4.3025,BCC
2258.0125,4.920843689,4.3375,BCC
2230.1175,4.93564939,4.3725,BCC
2327.75,4.872386594,4.25,BCC
2285.9075,4.903427908,4.3025,BCC
2258.0125,4.920843689,4.3375,BCC
2230.1175,4.93564939,4.3725,BCC
2256.5633,4.902323122,4.6676,BCC
1949.75,3.94703996,5,BCC
1949.75,3.94703996,5,BCC
2520.8,4.99441746,4.4,BCC
2407.7865,6.252494479,4.5551,BCC
2468.5077,5.942044975,4.6359,BCC
2496.7776,6.388277364,4.6662,BCC
2395.6968,5.842806783,4.545,BCC
2476.0019,5.864437269,4.6662,BCC
2412.6951,6.187516802,4.545,BCC
2434.6727,6.098503046,4.6662,BCC
2446.5099,6.040594322,4.545,BCC
2377.25,5.730437906,4.5,BCC
2482.5063,6.336758015,4.7268,BCC
2248.5,7.048397669,4.5,BCC
2441.1894,6.666056746,4.9464,BCC
2464.5093,6.581516408,5.0004,BCC
1692.178,6.584180787,7.6086,BCC
1678.3934,6.457140605,7.7508,BCC
2520.8,4.99441746,4.4,BCC
2526,4.839726937,4.5,BCC
2270.1336,5.037551391,4.3329,BCC
2665.75,5.36321632,4.5,BCC
2298.8,7.067352431,4.4,BCC
2247.75,8.781340818,4.75,BCC
2441.4,6.097271121,4.6,BCC
2257.875,6.440523166,4.25,BCC
2337.9013,6.802059798,4.429,BCC
2347,5.703787685,4.375,BCC
2396.625,4.862116278,4.25,BCC
2298.8,7.067352431,4.4,BCC
2270.1336,5.037551391,4.3329,BCC
2372.6,4.991703425,4.4,BCC
2261.3,7.023519911,4.5,BCC
2270.1336,5.037551391,4.3329,BCC
2372.6,4.991703425,4.4,BCC
2261.3,7.023519911,4.5,BCC
2270.1336,5.037551391,4.3329,BCC
2372.6,4.991703425,4.4,BCC
2261.3,7.023519911,4.5,BCC
2551.6,6.087901644,4.6,BCC
2711.8,6.301264119,4.8,BCC
2674.4,4.859690906,4.8,BCC
2551.6,6.087901644,4.6,BCC
2711.8,6.301264119,4.8,BCC
2674.4,4.859690906,4.8,BCC
2551.6,6.087901644,4.6,BCC
2711.8,6.301264119,4.8,BCC
2674.4,4.859690906,4.8,BCC
2551.6,6.087901644,4.6,BCC
2711.8,6.301264119,4.8,BCC
2674.4,4.859690906,4.8,BCC
2143.56,5.289095698,4.39,BCC
2143.56,5.289095698,4.39,BCC
2711.8,6.301264119,4.8,BCC
2674.4,4.859690906,4.8,BCC
2674.4,4.859690906,4.8,BCC
2257.875,6.440523166,4.25,BCC
2257.875,6.440523166,4.25,BCC
2337.9013,6.802059798,4.429,BCC
2337.9013,6.802059798,4.429,BCC
2347,5.703787685,4.375,BCC
2347,5.703787685,4.375,BCC
2396.625,4.862116278,4.25,BCC
2396.625,4.862116278,4.25,BCC
2024.125,5.437757834,4.875,BCC
2658.4281,1.064165362,4.6662,BCC
2602.75,3.841219005,4.625,BCC
2098.2619,6.956936589,4.2218,BCC
2157.75,4.550577491,4.125,BCC
2215.2603,6.436537341,4.3632,BCC
2098.2619,6.956936589,4.2218,BCC
2157.75,4.550577491,4.125,BCC
2215.2603,6.436537341,4.3632,BCC
2253.4786,4.492404318,4.0996,BCC
2426.75,5.98801153,4.75,BCC
2412.4175,6.316217004,4.7647,BCC
2399.454,6.554540126,4.7773,BCC
2388.0465,6.727983197,4.789,BCC
2378,6.853413663,4.8,BCC
2360.064,7.006262076,4.8177,BCC
2345.7235,7.070811877,4.8338,BCC
2322.7095,7.057940524,4.8581,BCC
2583.7954,5.78282707,4.6676,BCC
1560,6.237363717,8.25,BCC
2449.25,5.234209818,4.375,BCC
2458.4,4.780298313,4.45,BCC
2390.8,4.717914152,4.4,BCC
2323.2,4.65247045,4.35,BCC
2255.6,4.583851177,4.3,BCC
1985.4,6.34742231,4.8,BCC
1985.4,6.34742231,4.8,BCC
1855.3872,4.885290458,8.0901,BCC
2539.75,3.93470745,4.75,BCC
2520.8,4.99441746,4.4,BCC
2248.5,7.048397669,4.5,BCC
1985.4,6.34742231,4.8,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
1707.2202,6.717962872,7.4538,BCC
2526,4.839726937,4.5,BCC
2544.5,5.0467569,4.575,BCC
2563,5.217874152,4.65,BCC
2581.5,5.355845913,4.725,BCC
2600,5.462505288,4.8,BCC
1684,5.777889559,7.8,BCC
1684,5.777889559,7.8,BCC
2270.1336,5.037551391,4.3329,BCC
2394.1212,4.289607705,4.3329,BCC
2665.75,5.36321632,4.5,BCC
2665.75,5.36321632,4.5,BCC
2665.75,5.36321632,4.5,BCC
2665.75,5.36321632,4.5,BCC
2665.75,5.36321632,4.5,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
2520.8,4.99441746,4.4,BCC
1806.025,2.534584435,8.35,BCC
1975.1631,5.232784378,5.1106,BCC + Im
1975.1631,5.232784378,5.1106,BCC + Im
1730.662,5.774856837,7.7307,BCC + Im
1752.7403,5.76979708,7.6989,BCC + Im
1773.9503,5.76314728,7.6674,BCC + Im
1794.0297,5.755459104,7.6356,BCC + Im
1734.5019,6.098243843,7.6675,BCC + Im
1780.0311,6.332172982,7.5447,BCC + Im
1743.0334,7.499219151,6.9214,BCC + Im
1868.4021,6.015614951,7.2492,BCC + Im
2441.4,6.097271121,4.6,BCC + Im
2417.1,8.042355714,4.9,BCC + Im
1684,5.777889559,7.8,BCC + Im
1684,5.777889559,7.8,BCC + Im
1684,5.777889559,7.8,BCC + Im
2377.4,8.19461295,5,BCC + Im
1693.8945,6.230174368,7.6537,BCC + Im
1703.1848,6.574977188,7.5192,BCC + Im
1954.0993,4.420546739,4.9756,BCC + Im
1960.2311,4.966227463,4.9412,BCC + Im
1969.3859,5.607626536,4.8884,BCC + Im
1985.4,6.34742231,4.8,BCC + Im
1998.1911,6.72062144,4.7268,BCC + Im
1827.0655,3.155070139,8.1429,BCC + Im
1592.5909,6.791737374,7.4343,BCC + Im
1642.9909,6.957655411,7.3343,BCC + Im
1727.1241,7.220093625,7.1681,BCC + Im
1760.6245,7.320603488,7.1009,BCC + Im
2206.4554,5.358246357,4.3057,BCC + Im
2204.9648,6.319767721,4.7995,BCC + Im
1836.7,9.260965256,7,BCC + Im
1838.9,10.20926813,7,BCC + Im
1826.3845,10.47700205,7.001,BCC + Im
1870.775,9.97829703,7.0947,BCC + Im
1896.9,10.61019434,7,BCC + Im
1904.1595,10.7882277,7.0014,BCC + Im
1800.2,5.098314645,7.36,BCC + Im
1652.25,6.134075267,7.75,BCC + Im
1684,5.777889559,7.8,BCC + Im
2024.125,5.437757834,4.875,BCC + Im
2298.8,7.067352431,4.4,BCC + Im
2298.8,7.067352431,4.4,BCC + Im
2298.2,8.626538583,4.6,BCC + Im
2298.2,8.626538583,4.6,BCC + Im
2298.2,8.626538583,4.6,BCC + Im
2298.2,8.626538583,4.6,BCC + Im
2298.2,8.626538583,4.6,BCC + Im
2417.1,8.042355714,4.9,BCC + Im
2417.1,8.042355714,4.9,BCC + Im
2417.1,8.042355714,4.9,BCC + Im
2417.1,8.042355714,4.9,BCC + Im
2247.75,8.781340818,4.75,BCC + Im
2247.75,8.781340818,4.75,BCC + Im
2247.75,8.781340818,4.75,BCC + Im
2247.75,8.781340818,4.75,BCC + Im
2234.8,8.678228005,4.8,BCC + Im
2234.8,8.678228005,4.8,BCC + Im
2234.8,8.678228005,4.8,BCC + Im
2234.8,8.678228005,4.8,BCC + Im
2355.3074,6.23540462,6.2734,BCC + Im
2355.3074,6.23540462,6.2734,BCC + Im
2355.3074,6.23540462,6.2734,BCC + Im
2305.4,6.534212985,6,BCC + Im
2374.8182,6.049728164,6.381,BCC + Im
2345.6816,6.30890362,6.2216,BCC + Im
2305.4,6.534212985,6,BCC + Im
2247.75,8.781340818,4.75,BCC + Im
1949.75,3.94703996,5,BCC + Im
1949.75,3.94703996,5,BCC + Im
1995.8,5.90234915,5.2,BCC + Im
1995.8,5.90234915,5.2,BCC + Im
1995.8,5.90234915,5.2,BCC + Im
1995.8,5.90234915,5.2,BCC + Im
1898.86,6.262205721,6.12,BCC + Im
1898.86,6.262205721,6.12,BCC + Im
1898.86,6.262205721,6.12,BCC + Im
1898.86,6.262205721,6.12,BCC + Im
2188.275,4.952975798,4.425,BCC + Im
2160.38,4.961272793,4.46,BCC + Im
2188.275,4.952975798,4.425,BCC + Im
2160.38,4.961272793,4.46,BCC + Im
2072.4,6.018491588,4.9,BCC + Im
2072.4,6.018491588,4.9,BCC + Im
2072.4,6.018491588,4.9,BCC + Im
2072.4,6.018491588,4.9,BCC + Im
2263.8,4.926541183,4.6,BCC + Im
2263.8,4.926541183,4.6,BCC + Im
2263.8,4.926541183,4.6,BCC + Im
2263.8,4.926541183,4.6,BCC + Im
2263.8,4.926541183,4.6,BCC + Im
2263.8,4.926541183,4.6,BCC + Im
2583.7954,5.78282707,4.6676,BCC + Im
2583.7954,5.78282707,4.6676,BCC + Im
2441.4,6.097271121,4.6,BCC + Im
2583.7954,5.78282707,4.6676,BCC + Im
2441.4,6.097271121,4.6,BCC + Im
2583.7954,5.78282707,4.6676,BCC + Im
2441.4,6.097271121,4.6,BCC + Im
2143.56,5.289095698,4.39,BCC + Im
2441.4,6.097271121,4.6,BCC + Im
2417.1,8.042355714,4.9,BCC + Im
2417.1,8.042355714,4.9,BCC + Im
2417.1,8.042355714,4.9,BCC + Im
2012.3715,6.288476898,5.2722,BCC + Im
2012.3715,6.288476898,5.2722,BCC + Im
2012.3715,6.288476898,5.2722,BCC + Im
2012.3715,6.288476898,5.2722,BCC + Im
1800.2,5.098314645,7.36,BCC + Im
1800.2,5.098314645,7.36,BCC + Im
1800.2,5.098314645,7.36,BCC + Im
1800.2,5.098314645,7.36,BCC + Im
1800.2,5.098314645,7.36,BCC + Im
1954.0993,4.420546739,4.9756,BCC + Im
1960.2311,4.966227463,4.9412,BCC + Im
1969.3859,5.607626536,4.8884,BCC + Im
1985.4,6.34742231,4.8,BCC + Im
1998.1911,6.72062144,4.7268,BCC + Im
1954.0993,4.420546739,4.9756,BCC + Im
1960.2311,4.966227463,4.9412,BCC + Im
1969.3859,5.607626536,4.8884,BCC + Im
1985.4,6.34742231,4.8,BCC + Im
1998.1911,6.72062144,4.7268,BCC + Im
2611,3.780994362,5,BCC + Im
1684,5.777889559,7.8,BCC + Im
1985.4,6.34742231,4.8,BCC + Im
1684,5.777889559,7.8,BCC + Im
1707.2202,6.717962872,7.4538,BCC + Im
1769.345,4.719582723,8.05,BCC + Im
1779.425,4.78716918,8.03,BCC + Im
1789.505,4.853637233,8.01,BCC + Im
1591.038,5.759819008,8.0434,FCC + BCC + Im
1596.6255,5.693810899,8.1243,FCC + BCC + Im
1602,5.628086233,8.2,FCC + BCC + Im
1606.851,5.563391184,8.2693,FCC + BCC + Im
1611.4695,5.499623005,8.3342,FCC + BCC + Im
1629.938,5.280640432,8.335,FCC + BCC + Im
1684,5.777889559,7.8,FCC + BCC + Im
1684,5.777889559,7.8,FCC + BCC + Im
1684,5.777889559,7.8,FCC + BCC + Im
1684,5.777889559,7.8,FCC + BCC + Im
1684,5.777889559,7.8,FCC + BCC + Im
1763.93,4.345955752,7.92,FCC + BCC + Im
1701.4739,5.422264193,8.1495,FCC + BCC + Im
1634.2,5.827707431,7.4,FCC + BCC + Im
1634.2,5.827707431,7.4,FCC + BCC + Im
1767.295,4.602555539,7.9992,FCC + BCC + Im
1767.295,4.602555539,7.9992,FCC + BCC + Im
1767.295,4.602555539,7.9992,FCC + BCC + Im
1868.05,1.724828537,7.9,FCC + BCC + Im
1870.05,1.720623695,7.85,FCC + BCC + Im
1614.2594,5.181922446,8.1453,FCC + BCC + Im
1828.32,3.262141651,7.76,FCC + BCC + Im
1864.05,1.732527204,8,FCC + BCC + Im
1868.05,1.724828537,7.9,FCC + BCC + Im
1870.05,1.720623695,7.85,FCC + BCC + Im
1763.93,4.345955752,7.92,FCC + BCC + Im
1763.93,4.345955752,7.92,FCC + BCC + Im
1763.93,4.345955752,7.92,FCC + BCC + Im
1701.4739,5.422264193,8.1495,FCC + BCC + Im
1701.4739,5.422264193,8.1495,FCC + BCC + Im
1701.4739,5.422264193,8.1495,FCC + BCC + Im
1701.4739,5.422264193,8.1495,FCC + BCC + Im
1701.4739,5.422264193,8.1495,FCC + BCC + Im
1701.4739,5.422264193,8.1495,FCC + BCC + Im
1684,5.777889559,7.8,FCC + BCC + Im
1684,5.777889559,7.8,FCC + BCC + Im
1684,5.777889559,7.8,FCC + BCC + Im
1684,5.777889559,7.8,FCC + BCC + Im
1644.6971,6.470865946,7.2879,FCC + BCC + Im
1649.5356,5.123783175,8.5713,FCC + BCC
1601.9496,5.804502021,8.4009,FCC + BCC
1745.8527,5.968324256,7.9083,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1530.454,6.256058641,8.0018,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1767.295,4.602555539,7.9992,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1629.938,5.280640432,8.335,FCC + BCC
1767.295,4.602555539,7.9992,FCC + BCC
1767.295,4.602555539,7.9992,FCC + BCC
1767.295,4.602555539,7.9992,FCC + BCC
1767.295,4.602555539,7.9992,FCC + BCC
